,name,category,price,reference_price,reference_unit,insert_date,subcategoria
18056,GORDONS ginebra botella 1 lt,alcoholicas,12.99,12.99,l,2023-01-19,destilados_licores
18057,RIBERA DEL DUERO vino tinto roble DO Ribera del Duero botella 75 cl ,,6.95,9.27,l,2023-01-19,vino_tinto
18058,VIÑAS DEL VERO vino blanco DO Somontano botella 75 cl ,,5.7,7.6,l,2023-01-19,vino_blanco
18059,FRANGELICO licor de avellanas botella 70 cl ,alcoholicas,13.69,19.56,l,2023-01-19,destilados_licores
18060,SEÑORIO DE AYERBE vino chardonnay Do Castilla botella 75 cl ,,2.25,3.0,l,2023-01-19,vino_blanco
18061,CONDOMINIUM vino blanco verdejo frizzante botella 75 cl ,alcoholicas,2.99,3.99,l,2023-01-19,destilados_licores
18062,WORDENS whisky americano botella 70 cl,alcoholicas,7.89,11.27,l,2023-01-19,destilados_licores
18063,JOHNNIE WALKER whisky black label botella 70 cl,alcoholicas,24.99,35.7,l,2023-01-19,destilados_licores
18064,VETERANO brandy botella 1 lt,alcoholicas,9.19,9.19,l,2023-01-19,destilados_licores
18065,DON SIMON tinto de verano limón botella 1.5 lt,alcoholicas,1.7,1.13,l,2023-01-19,sangrias
18066,ALBALI vino tinto DO Valdepeñas botella 75 cl ,,3.65,4.87,l,2023-01-19,vino_tinto
18067,FINLANDIA vodka botella 70 cl,alcoholicas,14.99,21.41,l,2023-01-19,destilados_licores
18068,BULL DOG ginebra botella 70 cl,alcoholicas,24.0,34.29,l,2023-01-19,destilados_licores
18069,TANQUERAY ginebra nº ten botella 70 cl,alcoholicas,33.99,48.56,l,2023-01-19,destilados_licores
18070,EL GAITERO sidra extra botella 75 cl ,alcoholicas,3.07,4.09,l,2023-01-19,destilados_licores
18071,MATARROMERA vino tinto crianza DO Ribera del Duero botella 75 cl ,,21.89,29.19,l,2023-01-19,vino_tinto
18072,GLORIOSO vino tinto crianza DO Rioja botella 75 cl ,,7.3,9.73,l,2023-01-19,vino_tinto
18073,VELITERRA vino blanco verdejo DO Rueda botella 75 cl ,,3.59,4.79,l,2023-01-19,vino_blanco
18074,VIÑA POMAL vino tinto reserva DO Rioja botella 75 cl ,,13.95,18.6,l,2023-01-19,vino_tinto
18075,CUATRO RAYAS vino blanco verdejo DO Rueda botella 75 cl ,,5.35,7.13,l,2023-01-19,vino_blanco
18076,BENJAMIN DE CODORNIU cava pack 3 botellas 20 cl ,alcoholicas,5.4,9.0,l,2023-01-19,destilados_licores
18077,FREIXENET cava semiseco carta nevada pack 3 botellas 20 cl ,alcoholicas,5.4,9.0,l,2023-01-19,destilados_licores
18078,EMINA vino blanco verdejo DO Rueda botella 75 cl ,,6.09,8.12,l,2023-01-19,vino_blanco
18079,CORTINA sidra natural botella 70 cl ,alcoholicas,2.15,3.07,l,2023-01-19,destilados_licores
18080,VIÑAS DEL VERO vino rosado botella 75 cl ,,5.7,7.6,l,2023-01-19,vino_rosado
18081,VIA DE LA PLATA cava brut botella 75 cl ,alcoholicas,4.39,5.85,l,2023-01-19,destilados_licores
18082,MUYFINA manzanilla botella 75 cl ,alcoholicas,3.75,5.0,l,2023-01-19,destilados_licores
18083,BRUGAL ron extra viejo botella 70 cl ,alcoholicas,19.89,28.41,l,2023-01-19,destilados_licores
18084,RIBERA DE ALGODOR vino tinto crianza DO Castilla la Mancha botella 75 cl,,1.65,2.2,l,2023-01-19,vino_tinto
18085,BERONIA vino tinto DO Rioja botella 75 cl ,,14.3,19.07,l,2023-01-19,vino_tinto
18086,LOS MOLINOS vino tinto gran reserva DO Valdepeñas botella 75 cl,,3.69,4.92,l,2023-01-19,vino_tinto
18087,DON SIMON sangría botella 1.5 lt,alcoholicas,2.1,1.4,l,2023-01-19,sangrias
18088,GRAN FEUDO vino rosado DO Navarra botella 75 cl,,3.99,5.32,l,2023-01-19,vino_rosado
18089,EL GAITERO sidra botella 75 cl,alcoholicas,2.37,3.16,l,2023-01-19,destilados_licores
18090,MOSKOVSKAYA vodka botella 70 cl,alcoholicas,10.49,14.99,l,2023-01-19,destilados_licores
18091,NORDES ginebra botella 70 cl ,alcoholicas,26.19,37.41,l,2023-01-19,destilados_licores
18092,VIÑA ALARDE vino tinto DO Rioja botella 75 cl ,,7.29,9.72,l,2023-01-19,vino_tinto
18093,FAUSTINO RIVERO vino blanco verdejo Do Castilla botella 75 cl ,,3.95,5.27,l,2023-01-19,vino_blanco
18094,CELESTE vino tinto DO Ribera del Duero botella 75 cl ,,9.75,13.0,l,2023-01-19,vino_tinto
18095,HABLA DE LA TIERRA vino tinto botella 75 cl ,,7.65,10.2,l,2023-01-19,vino_tinto
18096,SEÑORIO DE AYERBE vino tinto sirah botella 75 cl ,,2.65,3.53,l,2023-01-19,vino_tinto
18097,SEÑORIO DE AYERBE vino tinto merlot botella 75 cl ,,2.65,3.53,l,2023-01-19,vino_tinto
18098,BARMON'S ginebra sabor fresa botella 70 cl ,alcoholicas,7.85,11.21,l,2023-01-19,destilados_licores
